	NP_001286321	NP_001259822	AAN71367
NP_001285259	-0.9909578233372224	0.519019238003972	-0.998187663250968
ACH92188	0.14124426057388761	0.8510357670487706	-0.053050893986117134
NP_001285378	-0.9848375370917252	0.5526035413447002	-0.9997912606454334
NP_001303388	-0.7150027179015594	0.9266088572741498	-0.836805352155528
6XU6_CX	0.862932411112923	0.11835044201987727	0.7488004193399587
NP_001262426	0.9546123827339509	-0.10846904171195967	0.8789049963265908
NP_648848	0.9885082936483289	-0.5336172330807796	0.9990736810799433
NP_001260414	-0.9994953087031492	0.37031806689956315	-0.974443506796565
NP_572998	-0.9278048908627509	0.7127665818973239	-0.982470104924368
NP_001284943	-0.9366359810963425	0.6954309203477833	-0.9867283456191268
NP_523419	-0.980332635758913	0.21087224093326462	-0.9235917854364708
NP_001285613	-0.9673306609562347	0.6189765092366158	-0.9981081552782964
NP_650954	0.2439236317032095	-0.9864653104794587	0.42702813102350246
AAL68340	-0.8945102586716998	0.7672776506737403	-0.9641253656977473
NP_650643	0.9656038733660708	-0.6242444047186604	0.997672113307457
NP_001287481	0.6677340660978779	0.41551794482548515	0.5110162649362505
CAA58023	0.9735880472431319	-0.17979702886932095	0.9109820773460863
ACT82949	-0.9487816699721865	0.6687772176071062	-0.9919911898914759
NP_001261871	-0.8436344184173061	-0.15502830955435318	-0.7237510208938236
NP_001286628	-0.1720653926058321	0.9717648376756886	-0.3594887159735362
AAM52624	-0.9848429924652518	0.5525773295359809	-0.9997906175958506
AAL68349	0.07127492451188903	-0.942825304949633	0.26299906047547833
NP_609444	-0.9931045269976468	0.5043473420409882	-0.9970144964962732
NP_001245404	0.7957960752973684	-0.8731359791309578	0.8979614108013014
NP_609040	0.6777974898008614	-0.9448567727515234	0.807296660402591
NP_001188916	-0.3455339958266736	-0.7221220614700491	-0.15735706066069133
NP_001162693	-0.9769454053135634	0.5861256941086566	-0.9997929208788041
NP_649139	-0.9965584665619288	0.3222785357817279	-0.9616660208219611
NP_001285446	-0.9994944504946908	0.4285819138780128	-0.9867457226263834
NP_001033899	-0.9569468207181104	0.648510088247003	-0.9950332744979751
NP_001261955	-0.978924484710759	0.5784220591363435	-0.9999408624574797
NP_651578	-0.8816469943196358	-0.08024546195857603	-0.7736280235124499
NP_001259970	-0.3660631390010776	0.9993394643987497	-0.5392691017044421
AAD46853	-0.9998241236773282	0.38237769958253165	-0.9772848653723492
AAG17032	0.9925415294684158	-0.5084075516107313	0.9973670100073695
NP_001261687	-0.9962220124815315	0.47773620813781603	-0.9941907418316138
NP_001261994	0.9946528278175955	-0.492172003699858	0.9958319148027197
AFH89824	-0.5093011724951557	0.9924144473505236	-0.6662483256105051
NP_611228	0.9713179139521656	-0.6061475589899522	0.99897456480841
NP_001262821	-0.9462266729021064	0.6746970753776818	-0.990950160944451
NP_648273	-0.6685623377803216	0.9488729310772284	-0.799863553254817
