	cv-c	loco	luna	CG6191	larp	Skeletor	puc	bol
Mmp2	-0.9235411768868377	-0.7588950864316296	-0.9745526482747703	-0.07860701521051548	0.5789658110387204	-0.5549330523698488	0.7555613651897882	-0.12047003132548438
exp	-0.05569289419672889	0.25696222845949185	-0.22137508772235048	-0.9321044727273097	-0.48296054684895817	-0.9903580288080414	0.918230714590435	-0.9465142177053297
CG17724	0.6595016175052985	0.8602474828582382	0.524947108498491	-0.9189993489421678	-0.957990012347098	-0.6099048999079872	0.37807162670382344	-0.901602391860317
CG8180	-0.8921865767737864	-0.9883131852494893	-0.804397603280973	0.7057824698780252	0.9958513209855512	0.2705196438213227	-0.005704576229249421	0.6753593826036864
CG8405	0.33942694625668307	0.03070349436232778	0.4914990286794067	0.7892548660467233	0.21182962372230668	0.9885295897697398	-0.9932075067573214	0.8143856418618165
CG10936	-0.6623020314479124	-0.3970384661926673	-0.777945690529646	-0.507270964044399	0.16339685482678054	-0.8632178223906205	0.9661430526204274	-0.5430711219293808
Magi	-0.8109433092324932	-0.952505907247127	-0.7020412770588174	0.8075156154229816	0.9978700461245412	0.41717407872082135	-0.16139648126805942	0.7819903932075524
CG4266	-0.39303691862894535	-0.08821786754852008	-0.5408392645220698	-0.7525792661131717	-0.15519250406681465	-0.9781907648412267	0.9982602199347697	-0.7796115970694281
CG10082	-0.2618453718889117	0.05064382153922372	-0.41908415539573335	-0.8365569496324242	-0.29056810416770784	-0.997534633593408	0.980463029823716	-0.8588619063608292
Sesn	0.41010058095057245	0.10676119524462883	0.5564166403554749	0.7401799064878415	0.13676001824820178	0.974151097576219	-0.9991854845907284	0.7678081867741855
sona	-0.48875706162600346	-0.1938304921845454	-0.6273667363833876	-0.6781465462273834	-0.04907010283256292	-0.9504971810067513	0.9988608464901025	-0.7084593987821531
Eps-15	-0.7907630181932891	-0.5617132987320234	-0.8817489700191525	-0.33711205803887434	0.34505765294449026	-0.7535476126625885	0.9008268429661782	-0.3764142829537738
Hipk	-0.12074582924331792	0.19333300461973002	-0.2845564973816708	-0.9064755062797318	-0.424774809163306	-0.997288401661989	0.9421236435782289	-0.9234345951804473
Iml1	-0.977157768124119	-0.9948582511221514	-0.9280510555433864	0.5047068134153946	0.940870300941323	0.019446796740095248	0.24622182840921725	0.4679477552967174
CG12004	-0.9791931226678606	-0.8678444406728418	-0.999321215917991	0.1103192368969272	0.7220024644399983	-0.38854320681955273	0.6188502875650874	0.06841560244494699
spz5	-0.24954986654419245	0.06334146861122165	-0.407502928498924	-0.8434572628610977	-0.30271393720966144	-0.9983464564820844	0.9778820452043578	-0.8653067270984764
slow	-0.9629618518988708	-0.9990935004060768	-0.9045303351651643	0.5546238543800732	0.9591716776595066	0.07823652669685355	0.18877207698563067	0.5191325396566099
RhoGEF64C	0.952082395768351	0.9999885902515393	0.8877672033909044	-0.5856781129092256	-0.9691760989470797	-0.11586133016522554	-0.1515201778006328	-0.551066079620026
Pura	-0.8376053774275154	-0.6266800254181402	-0.9169577557264056	-0.25999534259748547	0.4197143060671049	-0.6980078106292482	0.8628290601372265	-0.3003814372446114
CG13676	-0.9625855907991058	-0.8309362259295735	-0.9942909809876237	0.040474337354624454	0.671797902369939	-0.452091627095551	0.6723190186741652	-0.0015897575869724143
Tat	-0.5804248223524078	-0.8045097442637666	-0.4365385745532994	0.9540400909858243	0.9242263763050084	0.6866317859446364	-0.4694057943794381	0.9405904177758616
CrzR	-0.7013134261165912	-0.8879356967386051	-0.5726508308564356	0.8950093284334738	0.9727921940819654	0.5636994251509606	-0.3246386578757954	0.8754552422564803
Ncc69	-0.7462442528198577	-0.9160031356571775	-0.624818822407777	0.8640642077514344	0.9858139478387126	0.5087171712316231	-0.26235891177366005	0.842125875774511
Wbp2	0.8282115674562693	0.6133613790453213	0.9100528089412498	0.2763492656135445	-0.404246216596874	0.710062982992135	-0.87128561038555	0.31652939187360185
CG17839	-0.35813196558273425	-0.6302426232685626	-0.19745760946841187	0.99868073510595	0.7992346277846117	0.8467412898465594	-0.6754697848851775	0.9956369657903417
CG5151	-0.6751511151449483	-0.41284023157103056	-0.7886880686737803	-0.49230218462184794	0.1804217655968823	-0.8543646286888102	0.9615400058281438	-0.5284789173765315
MYPT-75D	-0.14006783548600726	-0.44047636191292994	0.02696939822006228	0.9848370401271589	0.6444350472407735	0.94433463249485	-0.8233780030228253	0.9912625595117144
CG3961	-0.9401907291801022	-0.7880226200613083	-0.983825075732091	-0.03270660701279869	0.6158272276374366	-0.5161131285134825	0.724655874926254	-0.07471789809695438
barc	0.7675538467903361	0.9285975208207395	0.6499461249290174	-0.8471902859407232	-0.9907627348986604	-0.48037305369854144	0.23075334680391654	-0.8240930020724861
CG12581	-0.9137417509374094	-0.7425040230049769	-0.9686909648106886	-0.10331734300435451	0.5585576384387817	-0.5754026148722614	0.7715821016172911	-0.14506354417535292
beta-Man	0.49851737519670064	0.7429633832568555	0.34701368300790747	-0.9786532240459652	-0.882730506090198	-0.7540512911226738	0.5530164545990157	-0.9691424150104707
CG17816	-0.1620713274855538	0.15221590271758248	-0.32431922677441677	-0.888062260739922	-0.3866210647539783	-0.9994908933131018	0.9552954136413625	-0.9066135180878224
mura	-0.751325417926241	-0.9190516269452086	-0.630785902009115	0.8601798561546233	0.9870716675424368	0.5021022402142384	-0.2549536670802695	0.8379669613176957
CG8312	-0.6463857559471131	-0.8512891418691985	-0.5101295995071145	0.9256887924413626	0.9528799277022418	0.6235364461260919	-0.3940462731860495	0.9089577873038012
